epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,1537.13,1.4252,1.26355,0.01313,0.75414,0.62455,0.70706,0.42942,1.46807,1.15236,0.01609,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3062.01,1.42902,1.27183,0.01323,0.75883,0.62099,0.70916,0.43051,1.46738,1.14549,0.01608,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4590.93,1.41975,1.25293,0.0131,0.75445,0.62546,0.70944,0.43101,1.4665,1.14103,0.01605,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6149.97,1.41811,1.25587,0.01307,0.75217,0.62879,0.71012,0.43183,1.46496,1.13527,0.016,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7696.66,1.41551,1.06049,0.01533,0.75481,0.62999,0.71234,0.43376,1.45891,1.13049,0.01591,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,9231.01,1.3885,1.02678,0.0149,0.75243,0.63259,0.71327,0.43486,1.45358,1.12301,0.01584,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,10778.2,1.37749,1.00325,0.0147,0.74975,0.63442,0.71372,0.43609,1.4486,1.11547,0.01575,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,12305.4,1.36064,0.983,0.01443,0.75446,0.63592,0.71509,0.43801,1.44267,1.10801,0.01565,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,13800.6,1.34643,0.96783,0.01425,0.75317,0.64064,0.7165,0.44013,1.4373,1.09762,0.01559,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,15290,1.33605,0.94775,0.0141,0.75885,0.63847,0.71706,0.44155,1.43079,1.09106,0.01548,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16787.4,1.32179,0.92874,0.01389,0.76175,0.63815,0.71816,0.44294,1.42514,1.08493,0.01541,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,18277.7,1.31242,0.91482,0.01373,0.76843,0.63554,0.719,0.44367,1.41995,1.07816,0.01533,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,19748,1.30143,0.89952,0.01353,0.76939,0.63676,0.71984,0.44521,1.41386,1.07449,0.01526,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,21213.3,1.28925,0.88758,0.01344,0.77106,0.63734,0.71997,0.44612,1.4099,1.06935,0.01521,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
